"ricardo.ch","ricardo.ch"
"Dashboard","Tableau de bord"
"Products Listing","Liste de produits"
"Logs","Journaux"
"ricardo.ch Assistant","Assistant ricardo.ch"
"Configuration","Configuration"
"Ricento by Diglin GmbH","Ricento par Diglin GmbH"
"Log","Journal"
"ricardo.ch Payment Methods","Méthodes de paiement ricardo.ch"
"ricardo.ch Shipping","Livraison ricardo.ch"
"Admin Email Notification","Email de notification Admininistrateur	"
"Private message","Message privé"
"Global Configuration","Configuration Global"
"Merge Order","Combiner les commandes"
"If a customer order several products in a period of 30 minutes, do you want to merge the ricardo transaction in one order?","Si un client commande plusieurs produits dans une période de 30 minutes, voulez-vous combiner les transactions de ricardo.ch en une seule commande ?"
"Shipping Calculation","Calculation des frais de livraison"
"You can decide how do you want to calculate the shipping cost when an order merge several bought products by a customer.<br>""Highest Price"": it will find which product has the highest cost for the shipping and will take only this one for the calculation.<br>""Cumulative"": it will calculate the shipping cost based on the configuration you did in the products listing for each article and will combine them.","Vous pouvez décider comment calculer les frais de livraisons lorsqu'une commande combine plusieurs produits d'un même client. <br>""Prix le plus haut"": le prix sera déterminé par rapport au produit qui a les frais de livraison les plus élevés. Seulement ce prix sera utilisé pour le calcul.<br>""Cumulatif"": les frais seront calculé en fonction de ce que vous aurez configuré pour les frais de livraison dans la liste de produits pour chaque article et calculera la somme totale."
"Send Account Creation Confirmation Email","Envoyer un email de création de compte"
"Do you want to send a confirmation email to a customer when his account is created thanks to the ricardo.ch API?","Voulez-vous envoyer un email de confirmation de création de compte à vos clients lorsuq'ils sont importés depuis ricardo.ch ?"
"Send Email for new order","Envoyer un email pour les nouvelles commandes"
"Do you want to send the newly order created by email to a customer when the order is created thanks to the ricardo.ch API?","Voulez-vous envoyer un email de confirmation de création de commande à vos clients lorsuq'ils sont importés depuis ricardo.ch ?"
"API Token Configuration","Configuration du Token"
"General API Config","Configuration générale de l'API"
"ricardo.ch Extension enabled","Extension ricardo.ch activé"
"Development Mode","Mode Dévelopeur"
